block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1115574,1.00000000,0.05000000,0.95000000,0.95000000,1,1.00000000
1129474,1.00000000,2.95000000,-1.95000000,-1.00000000,2,1.05000000
1129545,2.00000000,0.10000000,1.90000000,0.90000000,2,2.00000000
1129552,3.00000000,2.35000000,0.65000000,1.55000000,2,3.00000000
1129565,1.00000000,0.05000000,0.95000000,2.50000000,2,1.00000000
1129936,1.00000000,3.40000000,-2.40000000,0.10000000,3,3.30000000
1129997,1000.00000000,0.00000000,1000.00000000,1000.10000000,3,1000.00000000
1131101,1.00000000,1.15000000,-0.15000000,999.95000000,4,1.10000000
1131811,1.00000000,1.15000000,-0.15000000,999.80000000,5,1.10000000
1132304,1.00000000,1.15000000,-0.15000000,999.65000000,5,1.10000000
1132694,1.00000000,0.05000000,0.95000000,1000.60000000,5,1.00000000
1132778,1.00000000,1.15000000,-0.15000000,1000.45000000,6,1.10000000
1133496,1.00000000,1.15000000,-0.15000000,1000.30000000,6,1.10000000
1133787,1.00000000,1.15000000,-0.15000000,1000.15000000,6,1.10000000
1133910,1.00000000,1.15000000,-0.15000000,1000.00000000,6,1.10000000
1134381,1.00000000,1.15000000,-0.15000000,999.85000000,7,1.10000000
1134424,2.00000000,1.20000000,0.80000000,1000.65000000,7,2.00000000
1134479,1.00000000,1.15000000,-0.15000000,1000.50000000,7,1.10000000
1134508,1.00000000,1.15000000,-0.15000000,1000.35000000,7,1.10000000
1134630,10.00000000,2.70000000,7.30000000,1007.65000000,7,10.00000000
1134637,1.00000000,1.15000000,-0.15000000,1007.50000000,7,1.10000000
1134697,1.00000000,1.15000000,-0.15000000,1007.35000000,8,1.10000000
1134771,4.00000000,0.20000000,3.80000000,1011.15000000,8,4.00000000
1135142,1.00000000,11.05000000,-10.05000000,1001.10000000,8,11.00000000
1135185,10.00000000,1.60000000,8.40000000,1009.50000000,8,10.00000000
1135417,10.00000000,1.60000000,8.40000000,1017.90000000,9,10.00000000
1135451,20.00000000,5.40000000,14.60000000,1032.50000000,9,20.00000000
1135453,1.00000000,1.15000000,-0.15000000,1032.35000000,9,1.10000000
1135462,1.00000000,11.05000000,-10.05000000,1022.30000000,9,11.00000000
1135654,1.00000000,11.05000000,-10.05000000,1012.25000000,9,11.00000000
1135658,10.00000000,0.50000000,9.50000000,1021.75000000,9,10.00000000
1135661,1.00000000,0.05000000,0.95000000,1022.70000000,9,1.00000000
1135699,1.00000000,0.05000000,0.95000000,1023.65000000,9,1.00000000
1135721,1.00000000,0.05000000,0.95000000,1024.60000000,10,1.00000000
1135746,1.00000000,0.05000000,0.95000000,1025.55000000,11,1.00000000
1135774,20.00000000,23.00000000,-3.00000000,1022.55000000,11,22.00000000
1135806,20.00000000,2.10000000,17.90000000,1040.45000000,11,20.00000000
1135815,1.00000000,1.15000000,-0.15000000,1040.30000000,11,1.10000000
1135855,1.00000000,1.15000000,-0.15000000,1040.15000000,11,1.10000000
1135862,1.00000000,11.05000000,-10.05000000,1030.10000000,11,11.00000000
1135867,10.00000000,1.60000000,8.40000000,1038.50000000,11,10.00000000
1135877,10.00000000,1.60000000,8.40000000,1046.90000000,11,10.00000000
1135959,1.00000000,1.15000000,-0.15000000,1046.75000000,11,1.10000000
1135981,1.00000000,1.15000000,-0.15000000,1046.60000000,11,1.10000000
1136012,1.00000000,22.05000000,-21.05000000,1025.55000000,11,22.00000000
1136140,40.00000000,24.00000000,16.00000000,1041.55000000,11,40.00000000
1136156,1.00000000,1.15000000,-0.15000000,1041.40000000,11,1.10000000
1136175,1.00000000,1.15000000,-0.15000000,1041.25000000,11,1.10000000
1136208,1.00000000,1.15000000,-0.15000000,1041.10000000,11,1.10000000
1136217,48.00000000,13.40000000,34.60000000,1075.70000000,11,48.00000000
1136223,11.00000000,12.65000000,-1.65000000,1074.05000000,11,11.00000000
1136227,1.00000000,1.15000000,-0.15000000,1073.90000000,11,1.10000000
1136246,1.00000000,1.15000000,-0.15000000,1073.75000000,11,1.10000000
1136255,1.00000000,44.05000000,-43.05000000,1030.70000000,11,44.00000000
1136273,40.00000000,3.10000000,36.90000000,1067.60000000,11,40.00000000
1136342,3.00000000,2.35000000,0.65000000,1068.25000000,11,2.00000000
1136408,10.00000000,53.30000000,-43.30000000,1024.95000000,11,52.80000000
1136484,1.00000000,1.15000000,-0.15000000,1024.80000000,11,1.10000000
1136499,10.00000000,11.50000000,-1.50000000,1023.30000000,11,11.00000000
1136521,11.00000000,1.65000000,9.35000000,1032.65000000,11,11.00000000
1136544,10.00000000,1.60000000,8.40000000,1041.05000000,11,10.00000000
1136742,1.00000000,1.15000000,-0.15000000,1040.90000000,11,1.10000000
1136763,1.00000000,0.05000000,0.95000000,1041.85000000,11,1.00000000
1136867,1.00000000,0.05000000,0.95000000,1042.80000000,11,1.00000000
1136885,1.00000000,0.05000000,0.95000000,1043.75000000,11,1.00000000
1136923,1.00000000,0.05000000,0.95000000,1044.70000000,11,1.00000000
1136943,1.00000000,0.05000000,0.95000000,1045.65000000,11,1.00000000
1137043,18.70000000,44.93500000,-26.23500000,1019.41500000,11,44.00000000
1137127,1.00000000,2.25000000,-1.25000000,1018.16500000,11,2.20000000
1137465,1.00000000,1.20000000,-0.20000000,1017.96500000,11,1.10000000
1138683,1.00000000,0.05000000,0.95000000,1018.91500000,11,1.00000000
1139254,1.00000000,0.05000000,0.95000000,1019.86500000,11,1.00000000
1139295,1.00000000,0.05000000,0.95000000,1020.81500000,11,1.00000000
1139425,2.00000000,0.10000000,1.90000000,1022.71500000,11,2.00000000
1139445,1.00000000,0.05000000,0.95000000,1023.66500000,11,1.00000000
1139878,1.00000000,0.05000000,0.95000000,1024.61500000,12,1.00000000
1139897,1.00000000,0.05000000,0.95000000,1025.56500000,12,1.00000000
1139902,1.00000000,0.05000000,0.95000000,1026.51500000,12,1.00000000
1139945,1.00000000,0.05000000,0.95000000,1027.46500000,12,1.00000000
